session,party,name,bioguide_id,oppose_any,support_any,local_topic,total_posts
114,Republican Party,Kenny Ewell Marchant,M001158,0.15,0.07,0.32,646
114,Republican Party,Tom Marino,M001179,0.21,0.14,0.33,861
114,Democratic Party,Edward John 'Ed' Markey,M000133,0.11,0.13,0.32,1838
114,Democratic Party,Doris O. Matsui,M001163,0.04,0.10,0.42,648
114,Republican Party,John S. McCain,M000303,0.14,0.03,0.38,647
114,Republican Party,Kevin McCarthy,M001165,0.11,0.06,0.40,802
114,Republican Party,Michael Thomas McCaul Sr.,M001157,0.23,0.07,0.33,1151
114,Republican Party,Tom McClintock,M001177,0.18,0.11,0.43,103
114,Democratic Party,Betty Louise McCollum,M001143,0.15,0.16,0.57,654
114,Democratic Party,Jim A. McDermott,M000404,0.07,0.09,0.46,245
114,Democratic Party,James P. 'Jim' McGovern,M000312,0.04,0.15,0.62,1055
114,Republican Party,Patrick T. McHenry,M001156,0.14,0.08,0.53,1070
114,Republican Party,David B. McKinley,M001180,0.18,0.05,0.51,819
114,Republican Party,Cathy McMorris Rodgers,M001159,0.05,0.10,0.56,900
114,Democratic Party,Jerry McNerney,M001166,0.03,0.05,0.67,679
114,Republican Party,Patrick 'Pat' Meehan,M001181,0.07,0.02,0.55,793
114,Democratic Party,Gregory Weldon Meeks,M001137,0.09,0.11,0.31,697
114,Republican Party,John L. Mica,M000689,0.02,0.03,0.79,1085
114,Democratic Party,Barbara A. Mikulski,M000702,0.03,0.11,0.50,137
114,Republican Party,Candice S. Miller,M001150,0.00,0.00,0.40,10
114,Republican Party,Jeff Miller,M001144,0.17,0.03,0.35,427
114,Democratic Party,Gwen Moore,M001160,0.13,0.16,0.28,1247
114,Republican Party,Jerry Moran,M000934,0.08,0.04,0.69,1866
114,Republican Party,Mick Mulvaney,M001182,0.20,0.13,0.37,1203
114,Republican Party,Lisa Ann Murkowski,M001153,0.03,0.01,0.61,2385
114,Democratic Party,Christopher Scott 'Chris' Murphy,M001169,0.04,0.04,0.41,886
114,Republican Party,Timothy Francis 'Tim' Murphy,M001151,0.05,0.04,0.45,551
114,Democratic Party,Patty Murray,M001111,0.30,0.20,0.36,554
114,Democratic Party,Jerrold L. Nadler,N000002,0.25,0.16,0.26,382
114,Democratic Party,Grace F. Napolitano,N000179,0.01,0.05,0.76,226
114,Democratic Party,Richard E. Neal,N000015,0.03,0.11,0.75,226
114,Republican Party,Randy Neugebauer,N000182,0.11,0.05,0.55,256
114,Republican Party,Kristi L. Noem,N000184,0.13,0.04,0.53,739
114,Republican Party,Richard B. 'Rich' Nugent,N000185,0.00,0.02,0.56,54
114,Republican Party,Devin G. Nunes,N000181,0.05,0.04,0.35,159
114,Republican Party,Pete Olson,O000168,0.11,0.02,0.51,1826
114,Republican Party,Steven McCarty Palazzo,P000601,0.20,0.09,0.37,451
114,Democratic Party,Frank J. Pallone Jr.,P000034,0.09,0.17,0.60,1122
114,Democratic Party,Bill J. Pascrell Jr.,P000096,0.06,0.10,0.55,601
114,Republican Party,Rand Paul,P000603,0.16,0.13,0.18,8823
114,Republican Party,Erik Paulsen,P000594,0.03,0.02,0.42,1047
114,Republican Party,Stevan E. 'Steve' Pearce,P000588,0.10,0.03,0.61,1487
114,Democratic Party,Nancy Pelosi,P000197,0.28,0.34,0.13,724
114,Democratic Party,Ed Perlmutter,P000593,0.07,0.11,0.58,807
114,Democratic Party,Gary C. Peters,P000595,0.03,0.09,0.65,1161
114,Democratic Party,Chellie Pingree,P000597,0.06,0.07,0.52,532
114,Republican Party,Joseph R. 'Joe' Pitts,P000373,0.10,0.04,0.27,372
114,Republican Party,Ted Poe,P000592,0.06,0.01,0.37,935
114,Democratic Party,Jared Polis,P000598,0.10,0.11,0.44,262
114,Republican Party,Mike Pompeo,P000602,0.20,0.04,0.54,1285
114,Republican Party,Robert J. 'Rob' Portman,P000449,0.11,0.05,0.57,2557
114,Republican Party,Bill Posey,P000599,0.04,0.03,0.43,156
114,Democratic Party,David Eugene Price,P000523,0.07,0.12,0.43,122
114,Republican Party,Tom Price,P000591,0.30,0.16,0.18,809
114,Democratic Party,Mike Quigley,Q000023,0.06,0.12,0.47,843
114,Democratic Party,Charles B. 'Charlie' Rangel,R000053,0.06,0.10,0.27,490
114,Republican Party,Tom W. Reed II,R000585,0.17,0.02,0.47,1851
114,Republican Party,David G. 'Dave' Reichert,R000578,0.02,0.02,0.61,598
114,Democratic Party,Harry M. Reid,R000146,0.50,0.34,0.16,288
114,Republican Party,James B. 'Jim' Renacci,R000586,0.04,0.05,0.51,1325
114,Republican Party,Reid J. Ribble,R000587,0.03,0.01,0.43,815
114,Democratic Party,Cedric L. Richmond,R000588,0.03,0.06,0.37,354
114,Republican Party,Edward Scott 'Scott' Rigell,R000589,0.06,0.02,0.47,917
114,Republican Party,Martha Roby,R000591,0.18,0.09,0.55,659
114,Republican Party,David P. 'Phil' Roe,R000582,0.19,0.10,0.48,495
114,Republican Party,Harold 'Hal' Rogers,R000395,0.02,0.02,0.60,530
114,Republican Party,Michael Dennis 'Mike' Rogers,R000575,0.06,0.02,0.54,1150
114,Republican Party,Dana Tyrone Rohrabacher,R000409,0.07,0.03,0.45,246
114,Republican Party,Todd Rokita,R000592,0.08,0.10,0.62,960
