session,party,name,bioguide_id,oppose_any,support_any,local_topic,total_posts
114,Republican Party,Carlos Curbelo,C001107,0.05,0.03,0.51,1541
114,Republican Party,Earl Leroy 'Buddy' Carter,C001103,0.17,0.08,0.53,971
114,Republican Party,Jody Hice,H001071,0.18,0.06,0.39,713
114,Republican Party,Barry Loudermilk,L000583,0.15,0.07,0.32,638
114,Republican Party,Rick Allen,A000372,0.15,0.04,0.50,1093
114,Democratic Party,Mark Takai,T000473,0.01,0.08,0.61,917
114,Republican Party,Rodney Leland 'Rod' Blum,B001294,0.05,0.03,0.67,1051
114,Republican Party,David Young,Y000066,0.01,0.01,0.60,2118
114,Republican Party,Mike Bost,B001295,0.07,0.02,0.73,1263
114,Republican Party,Ralph Abraham,A000374,0.09,0.04,0.62,651
114,Republican Party,Garret Graves,G000577,0.06,0.02,0.67,1304
114,Democratic Party,Seth Moulton,M001196,0.04,0.09,0.49,634
114,Republican Party,Bruce Poliquin,P000611,0.13,0.03,0.55,1006
114,Republican Party,John Moolenaar,M001194,0.09,0.05,0.53,790
114,Republican Party,Mike Bishop,B001293,0.06,0.03,0.53,1083
114,Republican Party,David A. 'Dave' Trott,T000475,0.14,0.02,0.46,718
114,Democratic Party,Debbie Dingell,D000624,0.03,0.08,0.62,824
114,Democratic Party,Brenda Lawrence,L000581,0.07,0.12,0.51,790
114,Republican Party,Thomas Earl 'Tom' Emmer Jr.,E000294,0.07,0.04,0.51,813
114,Republican Party,Ryan Zinke,Z000018,0.16,0.06,0.50,1496
114,Republican Party,David Rouzer,R000603,0.12,0.07,0.50,1079
114,Democratic Party,Brad Ashford,A000373,0.01,0.03,0.46,3137
114,Republican Party,Tom MacArthur,M001193,0.04,0.01,0.65,1393
114,Democratic Party,Bonnie Watson Coleman,W000822,0.08,0.11,0.39,771
114,Republican Party,Cresent Hardy,H001070,0.04,0.01,0.65,788
114,Republican Party,Lee M. Zeldin,Z000017,0.11,0.05,0.43,1373
114,Democratic Party,Kathleen Rice,R000602,0.02,0.04,0.53,457
114,Republican Party,Elise Marie Stefanik,S001196,0.02,0.03,0.64,1970
114,Republican Party,John Michael Katko,K000386,0.02,0.03,0.64,1150
114,Republican Party,Steve Dane Russell,R000604,0.09,0.06,0.39,520
114,Republican Party,Ryan Costello,C001106,0.01,0.01,0.71,873
114,Democratic Party,Brendan Boyle,B001296,0.04,0.05,0.50,801
114,Republican Party,John Ratcliffe,R000601,0.17,0.10,0.38,1335
114,Republican Party,Will Hurd,H001073,0.02,0.01,0.52,4312
114,Republican Party,Brian Babin,B001291,0.22,0.10,0.47,1389
114,Republican Party,Ludmya Bourdeau 'Mia' Love,L000584,0.07,0.06,0.44,949
114,Democratic Party,Donald 'Don' Beyer,B001292,0.05,0.16,0.41,1916
114,Republican Party,Barbara Jean Comstock,C001105,0.03,0.04,0.71,2565
114,Republican Party,Dan Newhouse,N000189,0.05,0.04,0.70,964
114,Republican Party,Glenn Grothman,G000576,0.06,0.06,0.71,425
114,Republican Party,Alex Mooney,M001195,0.10,0.09,0.58,663
114,Republican Party,Evan Jenkins,J000297,0.06,0.04,0.74,1294
114,Republican Party,Dan Sullivan,S001198,0.15,0.03,0.60,1046
114,Republican Party,David Perdue,P000612,0.21,0.09,0.39,1104
114,Republican Party,Joni Ernst,E000295,0.06,0.04,0.53,1226
114,Republican Party,Thom Tillis,T000476,0.14,0.03,0.43,967
114,Republican Party,Mike Rounds,R000605,0.05,0.02,0.64,1038
114,Republican Party,Bradley 'Mark' Walker,W000819,0.13,0.12,0.56,1194
114,Republican Party,Benjamin Eric 'Ben' Sasse,S001197,0.12,0.08,0.36,574
114,Republican Party,Daniel Michael 'Dan' Donovan Jr.,D000625,0.11,0.02,0.50,744
114,Republican Party,Trent Kelly,K000388,0.03,0.02,0.60,468
114,Democratic Party,Colleen W. Hanabusa,H001050,0.07,0.20,0.34,41
114,Republican Party,Aaron Schock,S001179,0.00,0.00,0.70,27
114,Republican Party,John A. Boehner,B000589,0.29,0.10,0.14,550
114,Republican Party,Darin LaHood,L000585,0.07,0.06,0.67,688
114,Republican Party,James Comer,C001108,0.00,0.00,0.33,12
114,Republican Party,Warren Davidson,D000626,0.16,0.07,0.38,312
114,Democratic Party,Dwight Evans,E000296,0.00,0.00,0.79,24
